ja,zh_Hans
タリ報Ⅰ,偷袭警报Ⅰ
タリ報Ⅱ,偷袭警报Ⅱ
タリ報Ⅲ,偷袭警报Ⅲ
タリ報★,偷袭警报★
ピアシングⅠ,穿刺Ⅰ
ピアシングⅡ,穿刺Ⅱ
ピアシングⅢ,穿刺Ⅲ
ピアシング★,穿刺★
ハーヴェストⅠ,收获Ⅰ
ハーヴェストⅡ,收获Ⅱ
ハーヴェストⅢ,收获Ⅲ
ハーヴェスト★,收获★
Ms.サプライズⅠ,Ms.Surprise Ⅰ
Ms.サプライズⅡ,Ms.Surprise Ⅱ
Ms.サプライズⅢ,Ms.Surprise Ⅲ
Ms.サプライズ★,Ms.Surprise ★
デュプリケータⅠ,复制器Ⅰ
デュプリケータⅡ,复制器Ⅱ
デュプリケータⅢ,复制器Ⅲ
デュプリケータ★,复制器★
チャンドラーⅠ,钱德勒Ⅰ
チャンドラーⅡ,钱德勒Ⅱ
チャンドラーⅢ,钱德勒Ⅲ
チャンドラー★,钱德勒★
ヒロえもんⅠ,捡宝A梦Ⅰ
ヒロえもんⅡ,捡宝A梦Ⅱ
ヒロえもんⅢ,捡宝A梦Ⅲ
ヒロえもん★,捡宝A梦★
サバト,魔宴
ハオマの盃,豪摩之盏
瘴気,瘴气
捕食（ゼノン用）,捕食（芝诺用）
ナナ用瘴気,七奈用瘴气
トラエスト,特拉埃斯特
スロウマ,斯洛乌玛
威圧の眼光,威慑的视线
エストマ,艾斯托玛
リベラマ,利悖拉玛
暗殺者の歩調,刺客的步调
オーバードライブ,超频驱动
癒やしの達人,治疗专家
トレジャーハンター,宝物猎人
資金調達,资金调配
目利き,鉴宝高手
フリーランスの処世術,自由职业的处世之道
ひらめきマカロン,闪耀马卡龙
金剛皿うどん,金刚炒乌冬
逆境のマリナーラ,逆境之玛丽亚娜披萨
抗菌仕様の親子丼,无菌亲子盖浇饭
コキュートス,悲叹冥河
等活地獄,等活地狱
ムスペルヘイム,穆斯贝尔海姆
ペルーンの雷,霹隆之雷
